id,formula,Tc,Time,doi,cif,system,SG_num,SG_syb,density,,,,,,
10001,Ag0.02Ge2Pd1.98Sr1,2.64 ,1987,10.1063/1.3672089,14118,tetragonal,I4/mmm,99.61,7.43,6.01,6.01,6.01,137.03,137.03,62.39
10002,Ag0.15Sn0.85Te1,2.15 ,2016,10.7566/JPSJ.85.053702,15674,cubic,Fm-3m,64.67,6.32,4.51,4.51,4.51,60,60,60
10003,Ag0.1Ge2Pd1.9Sr1,2.62 ,2012,10.1063/1.3672089,14118,tetragonal,I4/mmm,99.61,7.43,6.01,6.01,6.01,137.03,137.03,62.39
10004,Ag0.1In0.9Te1,1.20 ,,,14351,cubic,Fm-3m,60.73,6.63,4.41,4.41,4.41,60,60,60
10005,Ag0.2Ba1Si1.8,3.20 ,2012,10.1143/JPSJ.81.114717,15855,cubic,P4_332,308.94,4.16,6.76,6.76,6.76,90,90,90
10006,Ag0.2Ge2Pd1.8Sr1,2.52 ,2012,10.1063/1.3672089,14118,tetragonal,I4/mmm,99.61,7.43,6.01,6.01,6.01,137.03,137.03,62.39
10007,Ag0.438Hg0.562,0.64 ,1964,"BULL.AM.PHYS.SOC.,9(1964)268",10007,cubic,P2_13,169.25,12.11,5.53,5.53,5.53,90,90,90
10008,Ag0.25Sn0.75Te1,1.95 ,2016,10.7566/JPSJ.85.053702,10008,tetragonal,P4/mmm,458.6,7.06,8.69,8.69,6.07,90,90,90
10009,Ag0.55Hg0.45,NaN,,,10009,trigonal,P3m1,419.49,11.84,3.22,3.22,46.74,90,90,120
10010,Ag0.5Ba1Si1.5,1.21 ,2012,10.1143/JPSJ.81.114717,10010,orthorhombic,Fddd1,643.84,4.82,12.48,10.89,8.63,78.59,58.76,42.65
10011,Ag0.5Pd0.5Th2,1.20 ,1972,10.1016/0022-5088(72)90060-4,10011,tetragonal,I422,165.65,11.45,6.06,6.06,6.06,104.02,104.02,121.02
10012,Ag1Sn1Te2,NaN,,,10012,tetragonal,P4/mmm,114.65,6.98,4.34,4.34,6.07,90,90,90
10013,Ag0.625Al0.375,0.11 ,1970,10.1103/PhysRevB.1.3002,10015,orthorhombic,Cmcm,98.65,8.17,5.01,5.01,4.58,90,90,120.88
10014,Ag0.65Al0.35,0.10 ,1970,10.1103/PhysRevB.1.3002,10015,orthorhombic,Cmcm,98.65,8.17,5.01,5.01,4.58,90,90,120.88
10015,Ag2Al1,0.13 ,1970,10.1103/PhysRevB.1.3002,10015,orthorhombic,Cmcm,98.65,8.17,5.01,5.01,4.58,90,90,120.88
10016,Ag0.6Al0.4,0.09 ,1970,10.1103/PhysRevB.1.3002,10015,orthorhombic,Cmcm,98.65,8.17,5.01,5.01,4.58,90,90,120.88
10017,Ag0.76Se2Sn1.24,6.72 ,1981,10.1016/0038-1098(81)90517-2,10038,trigonal,R-3mH,92.31,6.92,6.92,6.92,6.92,34.02,34.02,34.02
10018,Ag0.7Al0.3,0.11 ,1970,10.1103/PhysRevB.1.3002,10015,orthorhombic,Cmcm,98.65,8.17,5.01,5.01,4.58,90,90,120.88
10019,Ag0.7Hg0.3,NaN,,,10019,cubic,Pm-3m,73.67,11.82,4.19,4.19,4.19,90,90,90
10020,Ag0.7Zn0.3,0.01 ,1976,10.1016/0038-1098(76)91419-8,10020,cubic,Pm-3m,66,9.79,4.04,4.04,4.04,90,90,90
10021,Ag0.81In0.19,0.01 ,1976,10.1016/0038-1098(76)91419-8,10051,cubic,Pm-3m,73.4,9.92,4.19,4.19,4.19,90,90,90
10022,Ag0.81Se2Sn1.19,6.47 ,1977,10.1016/0022-3697(77)90080-4,10038,trigonal,R-3mH,92.31,6.92,6.92,6.92,6.92,34.02,34.02,34.02
10023,Ag0.85Se2Sn1.15,6.23 ,1977,10.1016/0022-3697(77)90080-4,10038,trigonal,R-3mH,92.31,6.92,6.92,6.92,6.92,34.02,34.02,34.02
10024,Ag0.8Ga0.2,6.50 ,,,10024,hexagonal,P6_3/mmc,135.54,9.64,5.79,5.79,4.67,90,90,120
10025,Ag0.92Se2Sn1.08,5.57 ,1977,10.1016/0022-3697(77)90080-4,10038,trigonal,R-3mH,92.31,6.92,6.92,6.92,6.92,34.02,34.02,34.02
10026,Ag0.95Se2Sn1.05,5.28 ,1977,10.1016/0022-3697(77)90080-4,10038,trigonal,R-3mH,92.31,6.92,6.92,6.92,6.92,34.02,34.02,34.02
10027,Ag0.9S0.2Se1.8Sn1.1,6.79 ,1977,10.1016/0022-3697(77)90080-4,10038,trigonal,R-3mH,92.31,6.92,6.92,6.92,6.92,34.02,34.02,34.02
10028,Ag1B2,6.70 ,2004,10.1143/JPSJ.73.2639,10028,hexagonal,P6/mmm,32.24,6.67,3.03,3.03,4.06,90,90,120
10029,Ag1Be2,NaN,,,10029,cubic,Fd-3m1,65.32,6.4,4.52,4.52,4.52,60,60,60
10030,Ag1Ce1Sb2,NaN,,10.1016/S0925-8388(96)03128-3,10030,tetragonal,P4/nmm1,207.18,7.88,4.39,4.39,10.75,90,90,90
10031,Ag1Cl2,NaN,,,10031,trigonal,R-3cH,229.46,4.66,6.62,6.62,7.15,117.56,62.44,120
10032,Ag1In2,2.40 ,,,10032,tetragonal,I4/mcm,134.37,8.34,5.57,5.65,5.65,75.89,60.41,60.41
10033,Ag1La1,1.20 ,1966,10.1016/0022-3697(66)90152-1,10033,tetragonal,P4/mmm,55.37,7.4,3.81,3.81,3.82,90,90,90
10034,Ag1La1Sb2,NaN,,10.1016/S0925-8388(96)03128-3,10034,tetragonal,P4/nmm1,214.59,7.59,4.4,4.4,11.07,90,90,90
10035,Ag1Mg1,NaN,,10.1103/RevModPhys.35.1,10035,cubic,Pm-3m,36.07,6.09,3.3,3.3,3.3,90,90,90
10036,Ag1Mo6S8,7.70 ,1982,10.1007/BF00681858,10036,trigonal,R-3H,278.72,5.6,6.54,6.54,6.54,92.07,92.07,92.07
10037,Ag1S0.2Se1.8Sn1,5.79 ,1977,10.1016/0022-3697(77)90080-4,10038,trigonal,R-3mH,92.31,6.92,6.92,6.92,6.92,34.02,34.02,34.02
10038,Ag1Se2Sn1,4.71 ,1977,10.1016/0022-3697(77)90080-4,10038,trigonal,R-3mH,92.31,6.92,6.92,6.92,6.92,34.02,34.02,34.02
10039,Ag1Te1,NaN,,10.1103/PhysRev.87.799,10039,orthorhombic,Pnma,859.74,7.28,4.78,8.96,20.05,90,90,90
10040,Ag1Te3,2.60 ,1964,10.1126/science.145.3639.i,10040,trigonal,R3mH,113.88,7.15,5.29,5.29,5.29,109.43,109.43,109.43
10041,Ag1Th2,2.26 ,,,10041,tetragonal,I4/mcm,168.62,11.26,5.81,6.12,6.12,76.97,61.65,61.65
10042,Ag1Y1,NaN,,10.1016/0022-3697(67)90087-X,10042,cubic,Pm-3m,47.64,6.86,3.63,3.63,3.63,90,90,90
10043,Ag1Zn1,NaN,,,10043,cubic,Pm-3m,31.03,9.27,3.14,3.14,3.14,90,90,90
10044,Ag1Zn3,NaN,,,10044,hexagonal,P6_3/mmc,119.12,8.48,5.49,5.49,4.57,90,90,120
10045,Ag2F1,0.07 ,,,10045,trigonal,P-3m1,44.48,8.76,3,3,5.73,90,90,120
10046,Ag2O1,NaN,,10.1103/PhysRev.87.799,10046,cubic,Pn-3m1,107.44,7.16,4.75,4.75,4.75,90,90,90
10047,Ag2S1,NaN,,10.1103/PhysRev.87.799,10047,monoclinic,P12_11,135.06,6.09,4.22,5.74,9.14,90,142.39,90
10048,Ag2Se1,NaN,,10.1103/PhysRev.87.799,10048,orthorhombic,P2_12_121,241.28,8.11,4.45,7.08,7.66,90,90,90
10049,Ag2Te1,NaN,,,10049,monoclinic,P12_1/c1,276.54,8.25,4.51,8.35,7.96,112.56,90,90
10050,Ag3.3Al1,0.34 ,,,10050,orthorhombic,Cmmm,69.97,8.32,2.86,2.86,8.98,90,90,108.35
10051,Ag3In1,NaN,,,10051,cubic,Pm-3m,73.4,9.92,4.19,4.19,4.19,90,90,90
10052,Ag3Sb1,NaN,,,10052,orthorhombic,Pmmn1,155.88,9.49,4.87,5.32,6.03,90,90,90
10053,Ag3Sn1,NaN,,,10053,orthorhombic,Pmmn1,150.81,9.74,4.77,5.22,6.06,90,90,90
10054,Ag4Ge1,0.85 ,1964,10.1126/science.145.3639.i,10054,hexagonal,P-6m2,73.4,8.96,2.99,2.99,9.49,90,90,120
10055,Ag5Ba1,NaN,,10.1016/0022-3697(65)90144-7,10055,hexagonal,P6/mmm,136.98,8.2,5.89,5.89,4.56,90,90,120.01
10056,Ag5Cd8,NaN,,,10056,cubic,I-43m,504.87,9.46,8.69,8.69,8.69,109.47,109.47,109.47
10057,Ag5Pb2O6,0.52 ,2005,10.1103/PhysRevB.72.180504,10057,trigonal,P-31m,198.66,8.77,5.96,5.96,6.47,90,90,120
10058,Ag5Sr1,NaN,,10.1016/0022-3697(65)90144-7,10058,hexagonal,P6/mmm,130.04,8.01,5.71,5.71,4.6,90,90,120
10059,Ag5Zn8,NaN,,,10059,cubic,I-43m,401.42,8.79,8.05,8.05,8.05,109.47,109.47,109.47
10060,Ag7N1O11,1.04 ,1966,10.1103/PhysRevLett.17.917,10060,orthorhombic,Fmm2,241.21,6.51,7.08,6.96,6.93,61.37,59.54,59.1
10061,Al0.01B0.99Li2Pt3,2.86 ,2013,10.1016/j.physc.2013.04.059,11036,cubic,P4_332,313.33,12.93,6.79,6.79,6.79,90,90,90
10062,Al0.01B2Mg0.99,38.00 ,2006,10.1016/j.physc.2006.06.050,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10063,Al0.022B2Mg0.978,34.70 ,2005,10.1103/PhysRevB.71.174506,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10064,Al0.02B2Mg0.98,37.50 ,2006,10.1016/j.physc.2006.06.050,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10065,Al0.02Nb3Sn0.98,17.90 ,,,15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
10066,Al0.02Si0.98V3,16.12 ,,,15643,cubic,Pm-3n,102.74,5.85,4.68,4.68,4.68,90,90,90
10067,Al0.03B2Mg0.97,37.30 ,2001,10.1038/35066528,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10068,Al0.044B2Mg0.956,34.00 ,2005,10.1103/PhysRevB.71.174506,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10069,Al0.04Nb3Sn0.96,18.00 ,,,15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
10070,Al0.05B0.95Li2Pd3,7.75 ,2013,10.1016/j.physc.2013.04.059,11035,trigonal,R32H,310.59,7.36,6.77,6.77,6.77,90.01,90.01,90.01
10071,Al0.05B0.95Li2Pt3,2.12 ,2013,10.1016/j.physc.2013.04.059,11036,cubic,P4_332,313.33,12.93,6.79,6.79,6.79,90,90,90
10072,Al0.05B2Mg0.95,36.60 ,2005,10.1103/PhysRevB.71.144505,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10073,Al0.05Nb3Sn0.95,18.10 ,1978,Plenum Press (1978),15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
10074,Al0.06B2Mg0.94,37.00 ,2001,10.1038/35066528,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10075,Al0.06Nb3Sn0.94,18.00 ,,,15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
10076,Al0.07B2Mg0.93,35.80 ,2005,10.1103/PhysRevB.71.144505,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10077,Al0.085B2Mg0.915,32.40 ,2005,10.1103/PhysRevB.71.174506,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10078,Al0.08B2Mg0.92,35.50 ,2006,10.1016/j.physc.2006.06.050,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10079,Al0.08Nb3Sn0.92,17.90 ,,,15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
10080,Al0.09B2Mg0.91,34.70 ,2002,10.1103/PhysRevB.65.132505,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10081,Al0.09Nb3Sn0.91,17.80 ,1968,10.1007/BF01380012,15051,cubic,Pm-3n,150.96,8.74,5.32,5.32,5.32,90,90,90
10082,Al0.14B2Mg0.86,35.10 ,2001,10.1038/35066528,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10083,Al0.15B2Mg0.85,31.50 ,2005,10.1103/PhysRevB.71.144505,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10084,Al0.15Ga0.85Nb3,17.10 ,1968,10.1007/BF01380012,15793,cubic,Pm-3n,139.43,8.3,5.19,5.19,5.19,90,90,90
10085,Al0.15Ge0.85Nb3,7.40 ,1983,10.1002/pssa.2210770244,14071,tetragonal,P4_2/n,565.46,8.25,10.35,10.35,5.28,90,90,90
10086,Al0.185B2Mg0.815,25.30 ,2005,10.1103/PhysRevB.71.174506,15774,hexagonal,P6/mmm,28.6,2.67,3.06,3.06,3.52,90,90,120
10087,Al0.188V0.812,NaN,,10.1016/0022-3697(64)90037-X,10101,cubic,Pm-3n,109.87,5.43,4.79,4.79,4.79,90,90,90
